name,description
Olenna Tyrell,"After most of her family are killed in the Destruction of the Great Sept of Baelor, an event orchestrated by Cersei Lannister, Olenna's desire for vengeance leads her to pledge House Tyrell's forces to Daenerys Targaryen."
Petyr Baelish,"Often called Littlefinger, he was master of coin to King Robert, and owns brothels around Westeros. He is currently serving Robin Arryn."
Podrick Payne,"Former squire of Tyrion Lannister, Pod now serves Brienne of Tarth."
Qhono,Dothraki warrior.
Qyburn,"Once a maester, they took his chain for performing sinister experiments. He now serves Cersei, and it was his experiments that kept the Mountain from death."
Randyll Tarly,"Father to Samwell Tarly and Lord of Horn Hill, he is head of one of the most powerful families in the Reach."
Robett Glover,"Lord of Deepwood Motte and head of House Glover. He is portrayed by Tim McInnerny, and first appears in ""The Broken Man""."
Robin Arryn,"Though still a child, Robin is head of house Arryn, Lord of the Eyrie, Warden of the East, and Lord Paramount of the Vale of Arryn."
Samwell Tarly,"A member of the Night's Watch, Sam is one of Jon's closest advisors. He is currently training as the new maester of the Night's Watch."
Sansa Stark,"Second child and first daughter of Eddard and Catelyn Stark, she was first the wife of Tyrion Lannister before being married to Ramsay Bolton. She is protected by Brienne of Tarth."
The Hound,"Sandor Clegane, nicknamed The Hound, is the younger brother of Gregor Clegane and was the personal bodyguard (sworn shield) of Joffrey Baratheon."
The Mountain,"Ser Gregor Clegane, he is considered one of the fiercest and most sadistic warriors in Westeros. He serves as bodyguard to Queen Cersei."
The Night King,"Originally a man caught by the Children of the Forest, he was changed into the first White Walker, and now leads them across the region north of the Wall."
Theon Greyjoy,"The only son of Balon Greyjoy, he was raised as a ward of Eddard Stark. He is later captured and tortured by Ramsay Bolton."
Thoros of Myr,"Thoros, commonly known as Thoros of Myr, is a red priest of the Lord of Light and a noted warrior."
Tormund Giantsbane,"One of the many leaders of the Wildlings, and perhaps the most influential, he is loyal to Jon Snow after the Lord Commander saved his people from the White Walkers."
Tycho Nestoris,"Tycho Nestoris is a representative of the Iron Bank of Braavos. He is a rational man, more interested in numbers than in words, reasoning that the former are less likely to deceive than the latter."
Tyene Sand,"The third born of the Sand Snakes, Tyene is also the daughter of Ellaria Sand. She is skilled with daggers and poisons."
Tyrion Lannister,"Often called the Imp, he is the second son of Tywin Lannister. He served briefly as Hand of the King to his nephew Joffrey Baratheon, and now serves in the court of Daenerys."
Varys,"Sometimes called the spider, he is a spymaster serving Daenerys."
Wolkan,"He is a member of the Order of Maesters, and was in service to House Bolton at the Dreadfort and then Winterfell. It is currently unknown if he still serves at Winterfell now that it has been taken back by House Stark and House Bolton is extinct after the Battle of the Bastards."
Yara Greyjoy,"Older sister of Theon, she is a reaver from the Iron Islands, and is considered a leader among the Ironborn."
Yohn Royce,"Lord Yohn Royce, also known as ""Bronze Yohn"", is the Lord of Runestone and a powerful bannerman of House Arryn."
